Elevation,Slope(Degree),Drainage Density(km^2),TWI,Lineament(km^2),Annual Rainfall(cm),NDVI,LULC,Soil,Lithology,Geomorphology,gwpz
21.41,24.36,0.23,19.06,0.55,112.02,0.23,Water Bodies,Coarse Loamy,ANORTHOSITE,Residual Hill,Good
74.3,12.96,0.2,13.89,0.23,109.68,0.33,Water Bodies,Fine Silt,BIOTITE GNEISS,Valley Fill,Moderate
271.87,12.01,0,15.6,0.2,109.5,0.38,Other Lands,Fine Silt,HORNBLENDE GNEISS,River,Very Poor
246.14,4.07,0.52,24.14,0.58,108.12,0.43,Water Bodies,Fine Loamy,BIOTITE GNEISS,Pediment,Very Good
303.7,1.07,0.03,10.29,0.45,108.15,0.27,Water Bodies,Coarse Loamy,ANORTHOSITE,Residual Hill,Moderate
289.5,8.85,0.56,13.28,0.56,97.86,0.31,Other Lands,Fine Loamy,PRESENT DEPOSIT,Pediment,Moderate
244.8,9.36,0.66,21.17,0.35,105.86,0.41,Other Lands,Coarse Loamy,BIOTITE GNEISS,Valley Fill,Poor
23.63,42.5,0.65,12.56,0,100.76,0.23,Water Bodies,Fine Silt,BIOTITE GNEISS,Pediment,Very Poor
209.18,28.86,0.38,15.82,0.43,98.89,0.33,Sandy Lands,Coarse Loamy,ANORTHOSITE,Pediplain,Moderate
238.97,42.56,0.46,17.4,0.09,107.54,0.46,Agricultural Lands,Coarse Loamy,GRANITE GNEISS,Pediment,Poor
178.93,9.4,0.03,4.79,0.54,105.26,0.4,Agricultural Lands,Clayey Loamy,QUARTZITE QUARTZ SCHIST,Valley Fill,Very Good
26.93,21.89,0.55,11.08,0.53,104.12,0.44,Sandy Lands,Clayey Loamy,GRANITE GNEISS,River,Moderate
188.71,29.98,0.35,16.65,0.09,107.79,0.41,Other Lands,Fine Silt,BIOTITE GNEISS,Water bodies,Very Poor
196.13,17.43,0.19,24.91,0.01,101.02,0.25,Agricultural Lands,Fine Loamy,ANORTHOSITE,Water bodies,Very Poor
